ts_iso,elapsed_s,state,battery_percent,height_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,colors,front_range,temp_c
2025-10-30T11:38:54-04:00,0.0,ModeFlight.Ready,100,0.0,-22800.0,25400.0,34132.096,0,0,0,0,0,0,0,0,97,"['Unknown', 'Unknown']",999.9,0
2025-10-30T11:38:55-04:00,0.5,ModeFlight.Ready,100,0.0,-500.0,-3100.0,3140.064,0,0,1,0,0,0,0,0,98,"['Unknown', 'Unknown']",999.9,0
2025-10-30T11:38:55-04:00,1.0,ModeFlight.Ready,100,0.0,-500.0,-3100.0,3140.064,0,0,1,0,0,0,0,0,98,"['Unknown', 'Unknown']",999.9,0
2025-10-30T11:38:56-04:00,1.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0,0.064,0.002,0,0,98,"['yellow', 'yellow']",999.9,28.64
2025-10-30T11:38:56-04:00,2.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.0,0.064,0.002,0,0,98,"['yellow', 'yellow']",999.9,28.69
2025-10-30T11:38:57-04:00,2.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.0,0.064,0.002,0,0,98,"['yellow', 'yellow']",999.9,28.69
2025-10-30T11:38:57-04:00,3.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.006,-0.001,2.219,0,0,98,"['yellow', 'yellow']",999.9,28.69
2025-10-30T11:38:58-04:00,3.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.006,-0.001,2.219,0,0,98,"['yellow', 'yellow']",999.9,28.69
2025-10-30T11:38:58-04:00,4.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.006,-0.001,2.219,0,0,98,"['yellow', 'yellow']",999.9,28.69
2025-10-30T11:38:59-04:00,4.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.003,-0.0,0.364,0,0,98,"['yellow', 'yellow']",999.9,28.69
2025-10-30T11:38:59-04:00,5.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,1,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:00-04:00,5.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:00-04:00,6.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:01-04:00,6.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:01-04:00,7.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:02-04:00,7.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:02-04:00,8.0,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
2025-10-30T11:39:03-04:00,8.5,ModeFlight.Ready,100,0.0,600.0,-1500.0,1615.549,0,0,0,0.004,-0.001,0.364,0,0,97,"['yellow', 'yellow']",999.9,28.7
