ts_iso,elapsed_s,state,battery_percent,height_cm,bottom_range_cm,front_range_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,color_front,color_back,temp_c
2025-11-03T19:51:04-05:00,0.0,ModeFlight.Ready,61,0.0,0.0,0.0,0,0,0.0,0,0,68,0,-0.904,2.194,0,0,98,Unknown,Unknown,0
2025-11-03T19:51:05-05:00,0.5,ModeFlight.Ready,61,0.0,0.0,0.0,0,-26200.0,26200.0,0,0,68,-83.162,-0.904,2.194,0,0,98,Unknown,Unknown,0
2025-11-03T19:51:05-05:00,1.0,ModeFlight.Ready,61,0.0,0.0,0.0,200.0,-26200.0,26200.763,0,0,68,-83.162,-0.904,2.194,0,0,98,Unknown,Unknown,42.74
2025-11-03T19:51:06-05:00,1.5,ModeFlight.Ready,60,0.0,0.0,0.0,200.0,-26200.0,26200.763,0,0,68,-83.162,-0.904,2.194,0,0,98,Unknown,yellow,42.74
2025-11-03T19:51:06-05:00,2.0,ModeFlight.Ready,60,-100.0,-100.0,17.4,300.0,68400.0,68400.658,0,0,68,-83.162,-0.904,2.194,0,0,98,green,yellow,42.74
2025-11-03T19:51:07-05:00,2.5,ModeFlight.TakeOff,59,-100.0,-100.0,17.4,900.0,62700.0,62706.459,0,0,0,-83.162,-0.904,2.764,1,-12,92,green,yellow,42.74
2025-11-03T19:51:07-05:00,3.015,ModeFlight.TakeOff,57,-100.0,-100.0,17.4,-700.0,62700.0,62703.907,0,0,0,0.007,0.07,4.253,1,6,97,green,yellow,42.64
2025-11-03T19:51:08-05:00,3.5,ModeFlight.TakeOff,55,3.6,3.5,19.5,-700.0,62700.0,62703.907,0,0,0,0.004,0.07,4.253,4,6,97,green,yellow,42.64
2025-11-03T19:51:08-05:00,4.0,ModeFlight.TakeOff,55,3.5,3.5,19.5,500.0,-52700.0,52702.372,0,0,3,0.004,-0.008,4.311,-5,-7,98,green,yellow,42.64
2025-11-03T19:51:09-05:00,4.5,ModeFlight.Flight,52,3.0,3.0,19.0,200.0,-1400.0,1414.214,0,0,0,0.029,-0.003,4.311,-2,-11,106,green,yellow,42.64
2025-11-03T19:51:09-05:00,5.0,ModeFlight.Flight,50,3.0,3.0,19.0,200.0,-1400.0,1414.214,1,0,0,3.429,-0.034,19.815,-2,2,104,green,yellow,42.64
2025-11-03T19:51:10-05:00,5.5,ModeFlight.Flight,49,3.0,3.0,19.0,13900.0,1300.0,13960.659,0,0,0,3.592,0.115,51.014,-2,2,104,green,yellow,41.95
2025-11-03T19:51:10-05:00,6.0,ModeFlight.Flight,49,76.2,76.2,999.9,2200.0,-1500.0,2662.705,0,-1,0,10.604,-0.631,78.247,-1,-8,81,green,yellow,41.88
2025-11-03T19:51:11-05:00,6.515,ModeFlight.Flight,50,88.6,88.6,999.9,2200.0,-1500.0,2662.705,0,0,0,20.475,-3.378,85.303,0,4,93,green,yellow,41.82
2025-11-03T19:51:11-05:00,7.0,ModeFlight.Flight,50,88.6,88.6,999.9,2200.0,500.0,2256.103,0,7,0,26.732,-4.443,83.654,5,0,93,green,yellow,41.75
2025-11-03T19:51:12-05:00,7.5,ModeFlight.Flight,50,88.6,88.6,999.9,17300.0,-100.0,17300.289,0,7,0,47.34,-4.62,81.73,5,7,108,green,yellow,41.75
2025-11-03T19:51:12-05:00,8.0,ModeFlight.Flight,50,88.6,88.6,999.9,17300.0,-100.0,17300.289,0,0,0,48.312,-4.624,81.73,-12,7,97,green,yellow,41.75
2025-11-03T19:51:13-05:00,8.5,ModeFlight.Flight,50,108.4,108.4,999.9,14300.0,600.0,14312.582,6,-17,0,48.312,-4.624,101.657,2,0,94,green,yellow,41.75
2025-11-03T19:51:13-05:00,9.0,ModeFlight.Flight,50,108.4,108.4,999.9,9100.0,-7800.0,11985.408,-1,2,0,80.828,-16.471,93.234,-3,7,98,green,yellow,41.75
2025-11-03T19:51:14-05:00,9.5,ModeFlight.Flight,43,108.4,999.9,999.9,-15700.0,-7800.0,17530.83,-1,2,0,30.873,-17.293,90.672,-3,7,98,green,yellow,41.75
2025-11-03T19:51:14-05:00,10.0,ModeFlight.Flight,43,999.9,999.9,999.9,-5800.0,0.0,5800.0,0,14,0,29.502,-17.281,90.793,4,-3,103,green,yellow,41.75
