ts_iso,elapsed_s,state,battery_percent,height_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,colors,front_range,temp_c
2025-10-30T11:43:22-04:00,0.0,ModeFlight.Ready,100,0.0,200.0,-45900.0,45900.436,0,0,0,21.192,-2.518,-0.593,0,0,97,"['yellow', 'yellow']",999.9,36.44
2025-10-30T11:43:23-04:00,0.5,ModeFlight.Ready,100,0.0,1300.0,13100.0,13164.346,0,0,0,21.191,-2.516,-0.336,0,0,98,"['yellow', 'yellow']",999.9,36.46
2025-10-30T11:43:23-04:00,1.0,ModeFlight.Ready,100,0.0,800.0,0.0,800.0,0,0,0,21.196,-2.518,-0.12,0,0,98,"['yellow', 'yellow']",999.9,36.45
2025-10-30T11:43:24-04:00,1.5,ModeFlight.Ready,100,0.0,-400.0,-2100.0,2137.756,0,0,0,21.191,-2.52,0.048,0,0,98,"['yellow', 'yellow']",999.9,36.47
2025-10-30T11:43:24-04:00,2.0,ModeFlight.Ready,100,0.0,400.0,5200.0,5215.362,0,0,0,21.192,-2.518,0.127,0,0,97,"['yellow', 'yellow']",999.9,36.47
2025-10-30T11:43:25-04:00,2.5,ModeFlight.Ready,100,0.0,400.0,63800.0,63801.254,0,0,0,21.191,-2.518,0.122,0,0,97,"['yellow', 'yellow']",999.9,36.48
2025-10-30T11:43:25-04:00,3.0,ModeFlight.Ready,100,0.0,-200.0,-53400.0,53400.375,0,0,0,21.191,-2.517,0.091,0,0,97,"['yellow', 'yellow']",999.9,36.5
2025-10-30T11:43:26-04:00,3.5,ModeFlight.Ready,100,0.0,-46300.0,15600.0,48857.446,0,0,0,21.194,-2.519,0.06,0,0,97,"['yellow', 'yellow']",999.9,36.51
2025-10-30T11:43:26-04:00,4.0,ModeFlight.Ready,100,0.0,47800.0,39500.0,62008.79,0,0,0,21.192,-2.518,-0.007,0,0,97,"['yellow', 'yellow']",999.9,36.52
2025-10-30T11:43:27-04:00,4.516,ModeFlight.Ready,100,0.0,-100.0,-2700.0,2701.851,0,0,0,21.191,-2.517,-0.023,0,0,98,"['yellow', 'yellow']",32.6,36.52
