ts_iso,elapsed_s,state,battery_percent,height_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,colors,front_range,temp_c
2025-10-30T11:44:04-04:00,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.053,0,0,98,"['Unknown', 'Unknown']",0.0,0
2025-10-30T11:44:04-04:00,0.5,0,100,0.0,0.0,0.0,0.0,0,0,0,21.194,-2.521,0.053,0,0,98,"['Unknown', 'Unknown']",999.9,0
2025-10-30T11:44:05-04:00,1.0,ModeFlight.Ready,100,0.0,0.0,0.0,0.0,0,0,0,21.194,-2.521,0.053,0,0,98,"['yellow', 'yellow']",999.9,0
2025-10-30T11:44:05-04:00,1.5,ModeFlight.Ready,100,0.0,0.0,0.0,0.0,0,0,0,21.194,-2.518,0.071,0,0,98,"['yellow', 'yellow']",999.9,36.88
2025-10-30T11:44:06-04:00,2.015,ModeFlight.Ready,100,0.0,0.0,0.0,0.0,0,0,0,21.194,-2.518,0.071,0,0,98,"['yellow', 'yellow']",999.9,36.88
2025-10-30T11:44:06-04:00,2.5,ModeFlight.Ready,100,0.0,0.0,0.0,0.0,0,0,0,21.194,-2.518,-0.004,0,0,97,"['yellow', 'yellow']",999.9,36.87
2025-10-30T11:44:07-04:00,3.0,ModeFlight.Ready,100,0.0,0.0,-2200.0,2200.0,0,0,0,21.193,-2.519,-0.012,0,0,97,"['yellow', 'yellow']",999.9,36.87
2025-10-30T11:44:07-04:00,3.5,ModeFlight.Ready,100,1.5,300.0,700.0,761.577,0,0,0,21.192,-2.519,0.833,0,1,98,"['yellow', 'yellow']",999.9,36.88
2025-10-30T11:44:08-04:00,4.0,ModeFlight.Ready,100,2.5,300.0,700.0,761.577,0,0,0,-0.001,0.001,2.507,1,2,98,"['yellow', 'yellow']",21.3,36.88
2025-10-30T11:44:08-04:00,4.515,ModeFlight.TakeOff,98,2.9,300.0,700.0,761.577,0,0,0,-0.004,-0.145,2.988,-2,1,99,"['yellow', 'yellow']",21.3,36.88
2025-10-30T11:44:09-04:00,5.0,ModeFlight.TakeOff,98,2.9,300.0,-2900.0,2915.476,0,0,0,-0.047,-0.145,2.988,-6,0,97,"['yellow', 'yellow']",21.3,36.88
2025-10-30T11:44:09-04:00,5.5,ModeFlight.TakeOff,98,2.9,300.0,56100.0,56100.802,0,0,0,-0.047,-0.145,2.839,2,0,97,"['yellow', 'yellow']",21.3,36.88
2025-10-30T11:44:10-04:00,6.0,ModeFlight.TakeOff,98,2.9,8100.0,3400.0,8784.646,0,0,0,0.125,0.021,12.822,2,0,107,"['yellow', 'yellow']",21.3,36.88
2025-10-30T11:44:10-04:00,6.5,ModeFlight.TakeOff,90,34.0,8100.0,3400.0,8784.646,0,0,0,2.756,0.249,39.948,-4,0,83,"['yellow', 'yellow']",999.9,36.88
2025-10-30T11:44:11-04:00,7.0,ModeFlight.Flight,90,34.0,8100.0,3400.0,8784.646,0,0,0,2.756,0.249,39.948,9,1,97,"['yellow', 'yellow']",999.9,36.88
2025-10-30T11:44:11-04:00,7.5,ModeFlight.Flight,90,56.2,8100.0,3400.0,8784.646,0,0,0,1.182,-11.332,59.441,9,1,92,"['yellow', 'yellow']",999.9,36.4
2025-10-30T11:44:12-04:00,8.0,ModeFlight.Flight,91,62.6,1400.0,-12700.0,12776.932,-2,0,-54,-9.186,-23.877,62.157,0,4,94,"['yellow', 'yellow']",999.9,36.4
2025-10-30T11:44:12-04:00,8.5,ModeFlight.Flight,91,62.9,500.0,-8400.0,8414.868,-2,0,-54,-15.15,-28.43,71.258,0,1,98,"['yellow', 'yellow']",999.9,36.4
2025-10-30T11:44:13-04:00,9.0,ModeFlight.Flight,90,62.4,-500.0,-43700.0,43702.86,-16,0,-65,-15.195,-28.43,71.258,1,-2,86,"['yellow', 'yellow']",999.9,36.36
2025-10-30T11:44:13-04:00,9.5,ModeFlight.Flight,88,20.1,-6400.0,99500.0,99705.617,-16,0,-65,-15.195,-28.43,36.033,4,-10,117,"['yellow', 'yellow']",999.9,36.34
2025-10-30T11:44:14-04:00,10.0,ModeFlight.Flight,86,20.1,-6400.0,99500.0,99705.617,3,0,-65,3.791,-18.934,36.033,0,-8,79,"['yellow', 'yellow']",999.9,36.34
