ts_iso,elapsed_s,state,battery_percent,height_cm,bottom_range_cm,front_range_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,color_front,color_back,temp_c
2025-11-03T19:54:51-05:00,0.0,ModeFlight.Ready,56,-100.0,-100.0,22.9,200.0,-1100.0,1118.034,0,0,0,-4.802,-9.444,6.899,0,0,98,Unknown,Unknown,0
2025-11-03T19:54:53-05:00,2.0,ModeFlight.Ready,56,-100.0,-100.0,999.9,200.0,-1100.0,1118.034,0,0,-57,-4.802,-9.444,6.899,0,0,98,green,yellow,0
2025-11-03T19:54:55-05:00,4.0,ModeFlight.Ready,56,-100.0,4.0,21.7,200.0,-1100.0,1118.034,0,0,5,-4.802,-9.444,6.899,10,0,102,green,yellow,0
2025-11-03T19:54:57-05:00,6.0,ModeFlight.Ready,56,4.0,4.0,21.7,200.0,-1100.0,1118.034,0,0,0,-4.802,-9.444,6.899,0,-10,89,green,yellow,0
2025-11-03T19:54:59-05:00,8.0,ModeFlight.Ready,56,4.0,999.9,999.9,200.0,-1100.0,1118.034,0,6,90,-4.802,-9.444,77.82,8,0,102,green,yellow,0
2025-11-03T19:55:01-05:00,10.0,ModeFlight.Ready,42,999.9,999.9,999.9,22400.0,-8700.0,24030.189,0,6,90,0.014,-13.178,53.092,8,0,102,green,yellow,0
2025-11-03T19:55:03-05:00,12.016,ModeFlight.Flight,42,999.9,999.9,999.9,21200.0,-8700.0,22915.715,0,6,90,-26.601,-13.337,38.266,8,0,102,green,yellow,42.25
2025-11-03T19:55:05-05:00,14.016,ModeFlight.Flight,36,999.9,999.9,999.9,21200.0,-8700.0,22915.715,0,6,90,-66.938,-67.711,47.731,8,0,102,green,yellow,42.25
2025-11-03T19:55:07-05:00,16.0,ModeFlight.Flight,36,999.9,999.9,147.7,500.0,-5800.0,5821.512,0,3,-19,-41.768,-68.075,47.731,0,0,95,green,yellow,41.93
2025-11-03T19:55:09-05:00,18.0,ModeFlight.Ready,37,-100.0,-100.0,29.6,0.0,-5800.0,5800.0,-1,3,-19,-41.768,-68.075,4.499,0,1,97,green,yellow,41.73
2025-11-03T19:55:11-05:00,20.0,ModeFlight.Ready,37,-100.0,-100.0,32.3,1100.0,10700.0,10756.393,1,0,-3,13.753,-101.624,4.499,0,0,98,green,yellow,41.73
