ts_iso,elapsed_s,state,battery_percent,height_cm,bottom_range_cm,front_range_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,color_front,color_back,temp_c
2025-11-05T17:51:27-05:00,0.0,ModeFlight.Ready,100,0.0,0.0,12.5,600.0,-41300.0,41304.358,0,0,-2,0,0,0,0,0,97,Unknown,Unknown,0
2025-11-05T17:51:28-05:00,0.5,ModeFlight.Ready,100,0.0,0.0,12.8,600.0,-41300.0,41304.358,0,0,-2,0,0,0,0,0,98,Unknown,Unknown,0
2025-11-05T17:51:28-05:00,1.0,ModeFlight.Ready,100,0.0,0.0,13.3,600.0,-41300.0,41304.358,0,0,-2,-0.001,-0.001,0.007,0,0,98,Unknown,Unknown,0
2025-11-05T17:51:29-05:00,1.5,ModeFlight.Ready,100,0.0,0.0,13.1,600.0,-41300.0,41304.358,0,0,-2,-0.001,-0.001,0.007,0,0,98,Unknown,Unknown,35.47
2025-11-05T17:51:29-05:00,2.0,ModeFlight.Ready,100,0.0,0.0,12.8,600.0,-41300.0,41304.358,0,0,-2,-0.001,-0.001,0.007,0,0,98,black,black,35.49
2025-11-05T17:51:30-05:00,2.5,ModeFlight.Ready,100,0.0,0.0,12.8,600.0,-41300.0,41304.358,0,0,-2,-0.001,-0.001,0.007,0,0,98,black,black,35.5
2025-11-05T17:51:30-05:00,3.0,ModeFlight.Ready,100,0.0,0.0,12.7,600.0,-41300.0,41304.358,0,0,-2,-0.001,0.001,-0.015,0,0,97,black,black,35.5
2025-11-05T17:51:31-05:00,3.5,ModeFlight.Ready,100,0.0,0.0,13.7,600.0,-41300.0,41304.358,0,0,-2,0.001,0.002,-0.013,0,0,98,black,black,35.5
2025-11-05T17:51:31-05:00,4.0,ModeFlight.Ready,100,0.0,0.0,12.7,600.0,-41300.0,41304.358,0,0,-2,0.001,0.0,-0.031,0,0,98,black,black,35.5
2025-11-05T17:51:32-05:00,4.5,ModeFlight.Ready,100,0.0,0.0,12.9,600.0,-41300.0,41304.358,0,0,-2,-0.003,0.0,-0.004,0,0,98,black,black,35.5
