ts_iso,elapsed_s,state,battery_percent,height_cm,flow_vx_cms,flow_vy_cms,speed_cms,angle_roll_deg,angle_pitch_deg,angle_yaw_deg,rel_x,rel_y,rel_z,accel_x,accel_y,accel_z,colors,front_range,temp_c
2025-10-30T12:39:20-04:00,0.0,ModeFlight.Ready,82,0.0,600.0,17600.0,17610.224,0,0,-8,28.002,-65.379,0.045,0,0,97,"['yellow', 'yellow']",999.9,0
2025-10-30T12:39:20-04:00,0.5,ModeFlight.Ready,82,0.0,0.0,2100.0,2100.0,0,0,-8,27.999,-65.38,0.015,0,0,98,"['yellow', 'yellow']",58.7,32.98
2025-10-30T12:39:21-04:00,1.0,ModeFlight.Ready,82,0.0,-100.0,-6600.0,6600.758,0,0,-8,28.003,-65.378,-0.012,0,0,98,"['yellow', 'yellow']",48.1,33.06
2025-10-30T12:39:21-04:00,1.5,ModeFlight.Ready,82,0.0,-100.0,-3000.0,3001.666,0,0,-8,28.001,-65.379,-0.024,0,0,98,"['yellow', 'yellow']",999.9,33.06
2025-10-30T12:39:22-04:00,2.0,ModeFlight.Ready,82,0.0,-1700.0,200.0,1711.724,0,0,-8,28.001,-65.379,-0.024,0,0,98,"['yellow', 'yellow']",999.9,33.06
2025-10-30T12:39:22-04:00,2.5,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,0.001,0,0,98,"['yellow', 'yellow']",999.9,33.22
2025-10-30T12:39:23-04:00,3.0,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:23-04:00,3.5,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:24-04:00,4.0,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:24-04:00,4.5,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:25-04:00,5.0,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:25-04:00,5.5,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:26-04:00,6.0,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.381,-0.008,0,0,97,"['yellow', 'yellow']",39.1,33.27
2025-10-30T12:39:26-04:00,6.5,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,28.002,-65.38,0.012,0,0,98,"['yellow', 'yellow']",999.9,33.27
2025-10-30T12:39:27-04:00,7.0,ModeFlight.Ready,82,0.0,3100.0,200.0,3106.445,0,0,-8,27.999,-65.38,0.012,0,0,97,"['yellow', 'yellow']",999.9,33.27
